Date,Active,Recoveries,Deaths,Total
2-Mar-21,1276.00,30784.00,844.00,32904.00
3-Mar-21,1370.00,30881.00,846.00,33097.00
4-Mar-21,1478.00,30936.00,847.00,33261.00
5-Mar-21,1627.00,30995.00,849.00,33471.00
6-Mar-21,1722.00,31102.00,853.00,33677.00
7-Mar-21,1789.00,31209.00,855.00,33853.00
9-Mar-21,1816.00,31465.00,858.00,34139.00
10-Mar-21,2100.00,31633.00,858.00,34591.00
11-Mar-21,2317.00,31721.00,859.00,34897.00
12-Mar-21,2639.00,31825.00,860.00,35324.00
13-Mar-21,2834.00,31941.00,861.00,35636.00
14-Mar-21,2991.00,32024.00,863.00,35878.00
16-Mar-21,3075.00,32413.00,863.00,36351.00
17-Mar-21,3812.00,32594.00,866.00,37272.00
18-Mar-21,4104.00,32717.00,868.00,37689.00
19-Mar-21,4604.00,32930.00,871.00,38405.00
20-Mar-21,4819.00,33332.00,874.00,39025.00
21-Mar-21,5246.00,33456.00,878.00,39580.00
23-Mar-21,5839.00,33869.00,883.00,40591.00
24-Mar-21,6752.00,34118.00,883.00,41753.00
25-Mar-21,7600.00,34297.00,888.00,42785.00
26-Mar-21,7873.00,34297.00,889.00,43059.00
27-Mar-21,8296.00,35047.00,892.00,44235.00
28-Mar-21,7978.00,36147.00,894.00,45019.00
30-Mar-21,8894.00,36514.00,895.00,46303.00
31-Mar-21,9422.00,36857.00,899.00,47178.00
1-Apr-21,9766.00,37448.00,902.00,48116.00
2-Apr-21,10649.00,38056.00,905.00,49610.00